user_id,last_order_date,cart_abandoned_date,avg_order_value,sessions_last_30d,num_cart_items,engagement_score,profitability_score,days_since_abandon
1,2025-06-09,,2456.0,1,4,0.852125651510962,0.5974045385393654,
2,2024-10-06,,274.0,4,3,0.5074004827239781,0.2591458139894289,
3,2024-12-23,,1147.0,2,3,0.3787671748198475,0.3966866454690074,
4,2025-06-05,,639.0,5,3,0.46326145402623725,0.6740621817004551,
5,2025-07-10,2025-09-15,300.0,3,7,0.2961361674040034,0.838315475346824,5.0
6,2025-03-15,,1249.0,4,9,0.6546263777379886,0.8796504987805035,
7,2025-08-30,,693.0,5,1,0.5365388865853089,0.24996265488372563,
8,2025-06-09,,915.0,1,8,0.09746962336586139,0.46522199573565864,
9,2025-05-21,2025-09-09,362.0,3,1,0.08865340595662605,0.5975746108925903,11.0
10,2025-02-17,,575.0,3,9,0.2405285001333199,0.6397952912704692,
11,2024-10-24,2025-09-14,819.0,2,8,0.29933849074611246,0.5971367135527491,6.0
12,2025-06-24,,465.0,5,6,0.23991140306951467,0.6433490340748259,
13,2025-06-12,,227.0,2,6,0.6668704375408876,0.5998665217362564,
14,2024-09-25,,2659.0,6,7,0.3478335656229368,0.3343282335080277,
15,2025-04-21,,623.0,2,8,0.3904720831659146,0.2424298336725068,
16,2025-05-12,,1109.0,3,7,0.19408652552251202,0.78054854327938,
17,2025-04-23,2025-09-12,474.0,6,1,0.1609091808494368,0.7659907086796722,8.0
18,2024-11-15,,401.0,6,4,0.41129787237128695,0.13694952195403334,
19,2025-01-05,,468.0,2,4,0.06102966412580641,0.279143381931325,
20,2024-10-11,,471.0,3,9,0.08736270395756823,0.644353520911054,
21,2024-11-30,,679.0,3,9,0.5419152380847636,0.5518604225551361,
22,2025-03-12,,677.0,6,3,0.5127772558670379,0.12830696344694312,
23,2024-12-17,,600.0,0,9,0.7033145685989328,0.5847212460896385,
24,2025-04-12,,166.0,1,5,0.7291327494449952,0.12206743161862406,
25,2024-11-10,,598.0,7,6,0.20026706854087495,0.5020292425126809,
26,2025-08-29,,198.0,6,7,0.5128243258536203,0.4881714202971008,
27,2025-01-10,,158.0,2,3,0.5477642984790908,0.1618223620939913,
28,2025-01-27,2025-09-19,2208.0,7,4,0.6741502034151682,0.500902657373436,1.0
29,2024-10-10,,793.0,2,5,0.677620948461641,0.5188227758847106,
30,2025-08-02,,912.0,7,1,0.8049613447382113,0.7715115328100074,
31,2025-07-23,,461.0,4,8,0.35732173863066663,0.39588562463783644,
32,2025-04-03,,1967.0,2,7,0.03394538782416437,0.5382152209715083,
33,2025-03-16,,863.0,6,2,0.2110770316338926,0.6802224992315328,
34,2024-12-23,2025-09-19,1223.0,3,7,0.237269469259235,0.6950123603923553,1.0
35,2025-03-14,2025-09-14,418.0,4,9,0.19972160678658796,0.3574600319891149,6.0
36,2025-03-29,,2625.0,1,5,0.6876332171987207,0.3361305322219478,
37,2025-07-31,,1424.0,3,6,0.7625712761637953,0.32023612089161907,
38,2024-09-21,2025-09-08,1589.0,4,5,0.2804767985460757,0.7277729991762502,12.0
39,2025-07-27,,201.0,3,1,0.6507822245267264,0.5531403409422837,
40,2025-01-19,,303.0,2,6,0.44278022628448305,0.02058189346053281,
41,2024-11-04,,319.0,5,7,0.2814335172991893,0.8547428678009136,
42,2025-05-12,,303.0,1,5,0.32318483285609256,0.7429554699989674,
43,2024-11-17,,1597.0,2,3,0.2467851181460382,0.21050043890193473,
44,2025-05-08,,76.0,1,6,0.3207783011473147,0.7065386372693898,
45,2025-08-30,,113.0,6,7,0.46209153326039204,0.415260835788173,
46,2024-10-26,,306.0,1,9,0.48066351196511503,0.6904512597020269,
47,2025-04-06,,228.0,2,7,0.4898691981716565,0.4582412842269297,
48,2024-12-20,,261.0,6,3,0.5750376312462214,0.44202540649797023,
49,2025-06-23,,1329.0,3,1,0.12892327551305682,0.44968948421312444,
50,2024-11-08,2025-09-13,712.0,2,7,0.6930942985432308,0.20606210412179635,7.0
51,2025-09-06,2025-09-07,55.0,3,8,0.46221167524302686,0.634267094304455,13.0
52,2025-01-21,,499.0,2,1,0.3661425903301718,0.22292334047884804,
53,2024-12-29,,469.0,8,5,0.36836833038771394,0.1620212849754264,
54,2024-10-09,,147.0,13,8,0.17117993504077322,0.5938978839003444,
55,2025-07-29,,952.0,3,7,0.5379520802868845,0.6694060939005774,
56,2024-10-15,,1019.0,6,2,0.5596448228265959,0.25869494566805346,
57,2025-06-20,,1071.0,0,4,0.7203266919090746,0.23142688157933855,
58,2024-12-30,,1093.0,4,6,0.48646954886318095,0.36339535002399614,
59,2025-08-16,,50.0,3,7,0.7013988950362059,0.6233408965903243,
60,2025-02-26,,2512.0,1,7,0.3730155462752395,0.30897692524147785,
61,2025-07-01,,1397.0,3,3,0.4936888391020626,0.7336599036804576,
62,2025-08-01,,1925.0,3,8,0.3247449891500455,0.8485228139528641,
63,2024-09-25,,63.0,6,7,0.30598959214102495,0.5008094967472628,
64,2025-09-18,,2223.0,6,4,0.5268698914902982,0.35580783396392945,
65,2025-07-28,,1378.0,3,4,0.257601757823048,0.47405474658935737,
66,2025-06-06,,1502.0,4,4,0.7222210496258691,0.7962949673712059,
67,2025-01-03,,128.0,7,5,0.029557461890010805,0.3277824208215826,
68,2024-11-14,,1124.0,3,2,0.22080407296126972,0.8801782574872128,
69,2025-03-13,2025-09-07,2623.0,6,9,0.10954825304660781,0.4691169351326718,13.0
70,2025-02-14,,958.0,4,6,0.3672328353172534,0.661935244327269,
71,2025-08-07,,726.0,5,8,0.13005937512140964,0.430688710344006,
72,2025-04-11,,2380.0,2,1,0.7907314808180433,0.2865936008759859,
73,2025-03-02,,518.0,6,6,0.7728139956649235,0.08168830341468473,
74,2024-12-24,,782.0,6,6,0.3354339898963133,0.30537708573216693,
75,2024-10-04,,568.0,2,8,0.1848454552604016,0.6590570296251339,
76,2024-11-20,2025-09-17,2211.0,2,1,0.23729113141240174,0.7598775225964288,3.0
77,2024-12-23,,113.0,2,5,0.33035483805878396,0.4459062677711989,
78,2025-02-17,2025-09-20,606.0,4,3,0.503845066488662,0.9037763167295865,0.0
79,2025-01-11,,979.0,5,6,0.09551634184918285,0.6949628870940461,
80,2025-03-14,2025-09-13,1306.0,3,9,0.1744355096624583,0.42109148823436016,7.0
81,2024-11-28,,750.0,1,3,0.2859917297594861,0.3053204547165793,
82,2025-02-19,,1967.0,6,9,0.10999263649141969,0.6202980838617812,
83,2025-02-24,2025-09-07,2328.0,2,9,0.2915580731914537,0.44067893812786907,13.0
84,2025-01-26,,103.0,7,1,0.04404324574334811,0.8253360022490844,
85,2024-10-17,,462.0,5,2,0.518201012425655,0.6219895032228469,
86,2025-07-29,,69.0,3,4,0.42505904180740706,0.8477065577636841,
87,2024-12-14,,370.0,3,7,0.4433037915775397,0.1614144690886456,
88,2025-02-15,2025-09-09,666.0,4,2,0.5217127324962361,0.2615710607986005,11.0
89,2025-01-11,,1983.0,4,7,0.3095544637163765,0.37087523762406793,
90,2025-03-16,2025-09-19,1550.0,3,5,0.5856239002582609,0.7798085568886963,1.0
91,2025-08-10,,159.0,5,7,0.27726660251937957,0.6104731041045333,
92,2025-04-16,,128.0,3,9,0.38975003872610864,0.45653569693100193,
